iter	Passed	Remaining
966	5232	178
967	5238	173
968	5243	167
969	5249	162
970	5254	156
971	5260	151
972	5266	146
973	5272	140
974	5278	135
975	5284	129
976	5289	124
977	5295	119
978	5300	113
979	5306	108
980	5312	102
981	5317	97
982	5323	92
983	5328	86
984	5333	81
985	5338	75
986	5344	70
987	5349	64
988	5355	59
989	5360	54
990	5365	48
991	5371	43
992	5377	37
993	5382	32
994	5388	27
995	5393	21
996	5398	16
997	5404	10
998	5409	5
999	5415	0
